school,type,out of state,in state
Carnegie Mellon University,private,58924,
University of Illinois at Urbana-Champaign,public,34316,16866
Massachusetts Institute of Technology,private,55878,
University of California - San Diego,public,44487,14733
Stanford University,private,56169,
University of Michigan,public,53232,16178
University of California - Berkeley,public,44115,14361
Cornell University,private,61015,
University of Washington,public,39906,12076
Georgia Institute of Technology,public,33794,12682
University of Maryland - College Park,public,38636,10954
University of Wisconsin - Madison,public,38608,10720
Columbia University,private,63530,
Northeastern University,private,57592,
University of Texas at Austin,public,40032,11448
University of Pennsylvania,private,61710,
Purdue University,public,28794,9992
University of California - Los Angeles,public,43022,13268
University of Southern California,private,60275,
University of Massachusetts Amherst,public,36964,16439
New York University,private,56500,
University of California - Santa Barbara,public,44196,14442
Rutgers University,public,33005,15804
University of California - Irvine,public,43709,13955
Stony Brook University,public,28080,10410
Princeton University,private,56010,
University of Chicago,private,60963,
Pennsylvannia State University,public,36476,18898
Harvard University,private,55587,
Northwestern University,private,60984,